                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6593,                 3.9388,                 1.7779,                0.19959,                0.16667,                0.05731,                0.04494,                 2.5413,                 3.8813,                 2.1905,                 0.0811,                 0.0021,                 0.0021
                      1,                  1.718,                 2.8845,                 1.8014,                0.66558,                0.33333,                0.44425,                0.16288,                  2.226,                 2.9436,                   1.93,               0.061257,              0.0042574,              0.0042574
                      2,                  1.799,                 2.5948,                  1.918,                0.56318,                    0.5,                0.50242,                0.30895,                 1.9194,                 2.7356,                 1.6788,               0.041371,              0.0063713,              0.0063713
                      3,                 1.7305,                 2.5096,                 1.7787,                0.48806,                0.63881,                 0.4883,                0.22657,                 2.0825,                 2.4977,                 1.8085,               0.021442,              0.0084416,              0.0084416
                      4,                  1.513,                 2.3147,                 1.5846,                0.48806,                0.63881,                 0.4883,                0.22657,                 2.0825,                 2.4977,                 1.8085,               0.009604,               0.009604,               0.009604
                      5,                 1.8321,                 3.3252,                 1.9437,                0.35126,                0.66667,                0.45006,                0.26597,                 1.9382,                 4.6002,                 1.6215,               0.009604,               0.009604,               0.009604
                      6,                 1.5812,                 2.7094,                 1.6127,                 0.1037,                0.33333,                0.10239,                0.05834,                 2.0959,                 3.3831,                 1.7557,               0.009505,               0.009505,               0.009505
                      7,                 1.5163,                 2.6905,                 1.6899,                0.80961,                0.33333,                0.40384,                0.25214,                 2.2126,                 2.5377,                 1.9312,               0.009406,               0.009406,               0.009406
                      8,                 1.4742,                 1.7872,                 1.5306,                0.80961,                0.33333,                0.40384,                0.25214,                 2.2126,                 2.5377,                 1.9312,               0.009307,               0.009307,               0.009307
                      9,                 1.7332,                 2.0167,                 1.8288,                0.75242,                0.33333,                0.39577,                0.24342,                 2.0624,                 2.4754,                 1.8348,               0.009208,               0.009208,               0.009208
                     10,                 1.5539,                 1.8575,                 1.6075,                0.36133,                    0.5,                 0.4222,                0.24708,                 2.0404,                 3.9222,                 1.8637,               0.009109,               0.009109,               0.009109
                     11,                 1.5107,                 1.7602,                 1.5407,                0.36133,                    0.5,                 0.4222,                0.24708,                 2.0404,                 3.9222,                 1.8637,                0.00901,                0.00901,                0.00901
                     12,                 1.7195,                 1.7179,                 1.6919,                0.40035,                    0.5,                0.33129,                0.19938,                  1.805,                 2.4418,                 1.7214,               0.008911,               0.008911,               0.008911
